ballotid,st,state,stateno,state_fips,state_icpsr,year,ballotname,ballotdescrip,type,electiontype,passed,pctyesvotes,unknownstatus,unofficialvotetotal,topicarea,abort,agricult,animalrights_huntfish,arts_cult,banking_finance,bond_meas,budgets,bus_commerce,civil_conlaw,criminal,drug,econdev,ed_higher,ed_prek12,elections,elections_initiative,energy_electric,environ,ethics_lobby_camfin,fedgov,gambling_lottery,health,humanservices,insurance,judiciary,juvenile_justice,labor_employ,landuse_proprights,legislatures,localgov,military_vet,natresourc,redistricting,stategov,tribalrelat,tax_rev,telecom_it,termlimits,transportation,cumulbystate,totalbystate
AL11,AL,Alabama,1,1,41,1994 ,Amendment 5,Prohibit Establishment of Supernumerary Positions and Allow Those Affected Officials to Participate in the Employees' Retirement System, Legislative Referendum , General,0,52.09999847,0,0, Labor & Employment | Local Government | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,11,127
AL12,AL,Alabama,1,1,41,1994 ,Amendment 26,Fees and Charges in Winston County, Legislative Referendum , General,0,52.20000076,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,127
AL13,AL,Alabama,1,1,41,1994 ,Amendment 7,Establishing the Judicial Inquiry Commission and the Court of the Judiciary, Legislative Referendum , General,0,53.70000076,0,0, Judiciary ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,127
AL14,AL,Alabama,1,1,41,1994 ,Amendment 24,Costs and Charges of Court in Tallapoosa County, Legislative Referendum , General,0,54.09999847,0,0, Civil & Constitutional Law | Criminal Justice ,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,127
AL15,AL,Alabama,1,1,41,1994 ,Amendment 9,Ratifying and Validating Ad Valorem Tax Levies in Baldwin County, Legislative Referendum , General,1,54.09999847,0,0, Local Government | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,15,127
AL16,AL,Alabama,1,1,41,1994 ,Amendment 13,Economic Development in Calhoun County, Legislative Referendum , General,1,54.79999924,0,0, Economic Development | Local Government ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,127
AL17,AL,Alabama,1,1,41,1994 ,Amendment 19,Bingo Games for Charitable or Educational Purposes in Houston County, Legislative Referendum , General,1,56.29999924,0,0, Human Services | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,127
AL18,AL,Alabama,1,1,41,1994 ,Amendment 15,Bingo Games for Charitable or Educational Purposes in Coyington County, Legislative Referendum , General,1,56.79999924,0,0, Human Services | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,127
AL19,AL,Alabama,1,1,41,1994 ,Amendment 12,Sale of Lands in Calhoun County to Pay Delinquent Taxes, Legislative Referendum , General,1,57.09999847,0,0, Local Government | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,19,127
AL20,AL,Alabama,1,1,41,1994 ,Amendment 4-G,"Recognize the Significant Contributions of Students, Teachers, Staff and Others to Public Education in Alabama", Legislative Referendum , General,1,58.79999924,0,0, Education: PreK-12 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,127
AL21,AL,Alabama,1,1,41,1994 ,Amendment 20,Limit Police Jurisdiction and the Planning and Zoning Authority of Municipalities Located Partially Within Lee County, Legislative Referendum , General,1,59.09999847,0,0, Land Use/Property Rights | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,21,127
AL22,AL,Alabama,1,1,41,1994 ,Amendment 18,Incorporation of a Regional Airport by the City of Red Bay and Franklin County, Legislative Referendum , General,1,59.59999847,0,0, Local Government | Transportation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,22,127
AL23,AL,Alabama,1,1,41,1994 ,Amendment 11,Firefighting and Emergency Medical Service Districts in Blount County, Legislative Referendum , General,1,60,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,127
AL24,AL,Alabama,1,1,41,1994 ,Amendment 17,Fee for Fire Protection Services and Emergency Medical Care in Elmore County, Legislative Referendum , General,1,61.09999847,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,127
AL25,AL,Alabama,1,1,41,1994 ,Amendment 10,Additional Fee on Civil and Criminal Cases in Barbour County for County Jail, Legislative Referendum , General,1,66.40000153,0,0, Criminal Justice | Local Government | Tax & Revenue ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,25,127
AL26,AL,Alabama,1,1,41,1994 ,Amendment 23,Court Costs, Legislative Referendum , General,1,69.59999847,0,0, Civil & Constitutional Law | Criminal Justice ,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,127
AL27,AL,Alabama,1,1,41,1994 ,Amendment 14,Fire Protection and Rescue Squad Services in Coyington County, Legislative Referendum , General,1,69.69999695,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,127
AL28,AL,Alabama,1,1,41,1994 ,Amendment 25,Fire Protection and Emergency Medical Services Districts in Tallapoosa County, Legislative Referendum , General,1,80.40000153,0,0, Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,127
AL29,AL,Alabama,1,1,41,1994 ,Amendment 2-G,Alabama State Docks, Legislative Referendum , General,1,,0,0, State Government | Transportation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,29,127
AL30,AL,Alabama,1,1,41,1994 ,Amendment 16,Cullman City Board of Education, Legislative Referendum , General,1,,0,0, Education: PreK-12 | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,127
AL31,AL,Alabama,1,1,41,1994 ,Amendment 1-G,Relating to the Mode of Adoption of Constitutional Amendments Affecting Only One County, Legislative Referendum , General,1,,0,0, Civil & Constitutional Law | Elections | Local Government ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,127
AL32,AL,Alabama,1,1,41,1994 ,Amendment 3-G,Basic Rights for Crime Victims, Legislative Referendum , General,1,,0,0, Civil & Constitutional Law | Criminal Justice ,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,127
AL33,AL,Alabama,1,1,41,1996 ,Proposed Amendment No. 1,"""Sportsperson's Bill of Rights."" Guarantees the right to hunt and fish in Alabama", Legislative Referendum , General,1,,0,0, Animal Rights/Hunting & Fishing | Civil & Constitutional Law ,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,127
AL34,AL,Alabama,1,1,41,1996 ,Proposed Amendment No. 5,Allows Jefferson county to establish monetary bingo prizes by local law, Legislative Referendum , General,1,,0,0, Human Services | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,127
AL35,AL,Alabama,1,1,41,1996 ,Proposed Amendment No. 2,Allows public officials to participate in the state employees' retirement system, Legislative Referendum , General,0,,0,0, Labor & Employment | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,35,127
AL36,AL,Alabama,1,1,41,1996 ,Proposed Amendment No. 4,Authorizes local governing bodies in three cities to allow bingo operations for profit, Legislative Referendum , General,1,,0,0, Human Services | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,127
AL37,AL,Alabama,1,1,41,1996 ,Proposed Amendment No. 3,Removes the prohibition on guilty pleas within 15 days of arrest in non-capital felony cases, Legislative Referendum , General,1,,0,0, Criminal Justice ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,127
AL38,AL,Alabama,1,1,41,1998 ,Proposed Amendment No. 5,Provides a means by which members of the ratite industry may organize, Legislative Referendum , General,0,49.90000153,0,0, Agriculture | Labor & Employment ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,127
AL39,AL,Alabama,1,1,41,1998 ,Proposed Amendment No. 8,Prohibits burdening of the free exercise of religion unless government demonstrates compelling reason, Legislative Referendum , General,1,54.29999924,0,0, Civil & Constitutional Law ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,127
AL40,AL,Alabama,1,1,41,1998 ,Proposed Amendment No. 1,Appropriates revenues from the cellular radio telecommunications service tax for payment of outstanding bonds of Alabama Revolving Loan Fund Authority, Legislative Referendum , General,1,55,0,0, Tax & Revenue | Telecom & Info Technology ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,40,127
AL41,AL,Alabama,1,1,41,1998 ,Proposed Amendment No. 4,"Authorizes issuance and sale of bonds up to $5,700,000 for a center for cotton products technology", Legislative Referendum , General,1,58.90000153,0,0, Agriculture | Bond Measures | Economic Development ,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,127
AL42,AL,Alabama,1,1,41,1998 ,Proposed Amemdment No. 11,Phases out supernumerary system for certain elected public officials in Bibb County; allows them to participate in Employees’ Retirement System, Legislative Referendum , General,1,59.79999924,0,0, Labor & Employment | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,42,127
AL43,AL,Alabama,1,1,41,1998 ,Proposed Amendment No. 10,Authorizes Marengo County to perform certain actions for economic and industrial development, Legislative Referendum , General,1,63.29999924,0,0, Economic Development | Local Government ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43,127
AL44,AL,Alabama,1,1,41,1998 ,Proposed Amendment No. 3,"Authorizes issuance and sale of bonds up to $52,000,000 for research and educational facilities in agriculture, forestry, and veterinary medicine", Legislative Referendum , General,1,65.59999847,0,0, Agriculture | Bond Measures | Education: Higher Ed | Natural Resources ,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44,127
AL45,AL,Alabama,1,1,41,1998 ,Proposed Amendment No. 6,"Authorizes issuance and sale of bonds up to $17,500,000 for state forensic sciences facilities", Legislative Referendum , General,1,65.69999695,0,0, Bond Measures | Criminal Justice ,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,127
AL46,AL,Alabama,1,1,41,1998 ,Proposed Amendment No. 7,No unfunded mandate shall take effect unless approved by ordinance or resolution of the local governing body, Legislative Referendum , General,1,66.19999695,0,0, Local Government | State Government | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,46,127
AL47,AL,Alabama,1,1,41,1998 ,Proposed Amendment No. 9,"Authorizes any city with a population of 150,000 or more to establish trust funds", Legislative Referendum , General,1,69.80000305,0,0, Budgets | Local Government ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47,127
AL48,AL,Alabama,1,1,41,1998 ,Proposed Amendment No. 2,"Authorizes issuance and sale of bonds up to $110,000,000 for state parks system, historical sites", Legislative Referendum , General,1,74.5,0,0, Arts & Culture | Bond Measures | Natural Resources ,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,127
AL49,AL,Alabama,1,1,41,1999 ,Amendment 2,Phaseout of supernumary programs, Legislative Referendum , Special,0,46,0,0, Labor & Employment | Legislatures | State Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,49,127
AL50,AL,Alabama,1,1,41,1999 ,Amendment 1,State Lottery, Legislative Referendum , Special,0,46,0,0, Education: PreK-12 | Gambling & Lotteries ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,127
AL51,AL,Alabama,1,1,41,1999 ,Amendment 3,Popular election of city boards of education, Legislative Referendum , Special,1,68,0,0, Education: PreK-12 | Elections | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51,127
AL52,AL,Alabama,1,1,41,2000 ,Proposed Amendment No. 12,"Phase out the supernumerary system for certain public officials in Marion County and allow elected or appointed county officials, as defined, to participate in the Employees' Retirement System", Legislative Referendum , General,1,53,0,0, Labor & Employment | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,52,127
AL53,AL,Alabama,1,1,41,2000 ,Proposed Amendment No. 7,"Phase out the supernumerary system for certain public officials in Clay County and allow elected or appointed county officials, as defined, to participate in the Employees' Retirement System", Legislative Referendum , General,1,54,0,0, Labor & Employment | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,53,127
AL54,AL,Alabama,1,1,41,2000 ,Proposed Amendment No. 10,"Phase out the supernumerary system for certain public officials in Lowndes County and allow elected or appointed county officials, as defined, to participate in the Employees' Retirement System", Legislative Referendum , General,1,54,0,0, Labor & Employment | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,54,127
AL55,AL,Alabama,1,1,41,2000 ,Proposed Amendment No. 13,"Phase out the supernumerary system for certain public officials in Sumter County and allow elected or appointed county officials, as defined, to participate in the Employees' Retirement System", Legislative Referendum , General,1,54,0,0, Labor & Employment | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,55,127
AL56,AL,Alabama,1,1,41,2000 ,Proposed Amendment No. 6,"Phase out the supernumerary system for certain public officials in Chilton County and allow elected or appointed county officials, as defined, to participate in the Employees' Retirement System", Legislative Referendum , General,1,55,0,0, Labor & Employment | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,56,127
AL57,AL,Alabama,1,1,41,2000 ,Proposed Amendment No. 9,"Authorize the Legislature to fix, alter and regulate court costs in Greene County", Legislative Referendum , General,1,57,0,0, Judiciary | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,127
AL58,AL,Alabama,1,1,41,2000 ,Proposed Amendment No. 11,"Authorizing the operation of bingo games by nonprofit organizations for charitable, educational, and other lawful purposes in the Town of White Hall", Legislative Referendum , General,1,57,0,0, Human Services | Local Government ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58,127
AL59,AL,Alabama,1,1,41,2000 ,Proposed Amendment No. 2,Abolish the prohibition of interracial marriages, Legislative Referendum , General,1,60,0,0, Civil & Constitutional Law ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,127
AL60,AL,Alabama,1,1,41,2000 ,Proposed Amendment No. 8,Require the Fayette County Commission to levy an additional ad valorem tax for fire protection and rescue squads, Legislative Referendum , General,1,60,0,0, Local Government | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,60,127
AL61,AL,Alabama,1,1,41,2000 ,Proposed Amendment No. 4,Repeal the provision that no district ad valorem tax shall be voted upon or collected except in those counties that are levying and collecting a special countywide ad valorem tax, Legislative Referendum , General,1,62,0,0, Local Government | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,61,127
AL62,AL,Alabama,1,1,41,2000 ,Proposed Amendment No. 14,Authorize Winston County Commission to levy an ad valorem tax for maintenance of public roads and volunteer fire protection, Legislative Referendum , General,1,63,0,0, Local Government | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,62,127
AL63,AL,Alabama,1,1,41,2000 ,Proposed Amendment No. 1,Establish the County and Municipal Government Capital Improvement Trust Fund and the Alabama Capital Improvement Trust Fund; $350 Million Bond Issue, Legislative Referendum , General,1,63,0,0, Bond Measures | Budgets | Local Government | State Government | Transportation ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,63,127
AL64,AL,Alabama,1,1,41,2000 ,Proposed Amendment No. 5,Specifies the membership of the Board of Trustees of Auburn University, Legislative Referendum , General,1,69,0,0, Education: Higher Ed ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,127
AL65,AL,Alabama,1,1,41,2000 ,Proposed Amendment No. 3,Provide that counties and incorporated municipalities in Alabama receive a minimum of 10 percent of the trust income from the Alabama Trust Fund when the trust income in the preceding fiscal year exceeds $60 million, Legislative Referendum , General,1,70,0,0, Budgets | Local Government ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65,127
AL66,AL,Alabama,1,1,41,2002 ,Proposed Amendment 2,"Proposing an amendment to the Constitution of Alabama of 1901, to establish the General Fund Rainy Day Account within the Alabama Trust Fund.", Legislative Referendum , General,0,49.90000153,0,0, Budgets ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,127
AL67,AL,Alabama,1,1,41,2002 ,Proposed Amendment 3,"Proposing an amendment to the Constitution of Alabama of 1901, to provide a means by which members of the sheep and goat industry may organize and by referendum levy upon themselves assessments for the purpose of financing promotional programs for the she", Legislative Referendum , General,1,66,0,0, Agriculture | Business & Commerce | Natural Resources ,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67,127
AL68,AL,Alabama,1,1,41,2002 ,Proposed Amendment 1,"Proposing an amendment to the Constitution of Alabama of 1901, providing that any new proposed Constitution of Alabama adopted to replace the existing Constitution of Alabama of 1901, shall become effective only upon its ratification by a majority of the", Legislative Referendum , General,1,81,0,0, Civil & Constitutional Law | Elections ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,127
AL69,AL,Alabama,1,1,41,2003 ,Amendment 1,Alabama Excellence Initiative Fund, Legislative Referendum , Special,0,32.5,0,0, Budgets | Education: Higher Ed | Education: PreK-12 | Health | Human Services ,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,127
AL70,AL,Alabama,1,1,41,2004 ,Proposed Amendment 8,Motor Vehicle Taxes, Legislative Referendum , General,0,31.5,0,0, Tax & Revenue | Transportation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,70,127
AL71,AL,Alabama,1,1,41,2004 ,Proposed Amendment 6,Judges of Probate in Crenshaw County, Legislative Referendum , General,0,44.70000076,0,0, Judiciary ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,127
AL72,AL,Alabama,1,1,41,2004 ,Proposed Amendment 5,City of Trussville, Legislative Referendum , General,0,44.79999924,0,0, Education: PreK-12 | Local Government | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,72,127
AL73,AL,Alabama,1,1,41,2004 ,Proposed Amendment 7,"Macon County Tax on Sale of Tobacco, Liquor and Wine", Legislative Referendum , General,0,46.90000153,0,0, Drug/Alcohol/Tobacco Policy | Local Government | Tax & Revenue ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,73,127
